step	agent_id	module_id	x	y	stress	is_isolated	active_event_ids
39	ISS07	common_area	49.01	55.59	49.2	false	
39	ISS08	common_area	51.63	48.77	55.0	false	
39	ISS09	common_area	46.76	49.66	46.3	false	
40	ISS00	common_area	51.57	48.68	42.9	false	
40	ISS01	crew_quarters	25.12	34.41	67.4	true	
40	ISS02	common_area	53.1	53.21	62.6	false	
40	ISS03	common_area	49.9	44.33	56.0	false	
40	ISS04	common_area	48.63	51.52	48.9	false	
40	ISS05	common_area	53.24	49.72	64.0	false	
40	ISS06	common_area	46.48	47.25	48.0	false	
40	ISS07	common_area	50.89	55.6	41.6	false	
40	ISS08	common_area	51.14	48.3	56.2	false	
40	ISS09	common_area	46.83	50.73	45.6	false	
41	ISS00	common_area	51.05	48.25	60.4	false	
41	ISS01	crew_quarters	25.19	34.95	48.2	false	
41	ISS02	common_area	53.98	52.03	66.2	false	
41	ISS03	common_area	48.06	44.67	73.3	false	
41	ISS04	common_area	49.2	51.88	41.6	false	
41	ISS05	common_area	52.97	48.68	56.3	false	
41	ISS06	common_area	45.78	48.55	41.3	false	
41	ISS07	common_area	52.66	55.01	57.0	false	
41	ISS08	common_area	50.53	48.02	58.2	false	
41	ISS09	common_area	47.24	51.72	38.2	false	
42	ISS00	common_area	50.43	48.0	50.4	false	
42	ISS01	crew_quarters	25.42	35.43	56.9	false	
42	ISS02	common_area	54.42	50.62	62.9	false	
42	ISS03	common_area	46.43	45.59	55.8	false	
42	ISS04	common_area	49.86	52.04	30.5	false	
42	ISS05	common_area	52.38	47.78	60.4	false	
42	ISS06	common_area	45.54	50.0	37.1	false	
42	ISS07	common_area	54.15	53.87	42.3	false	
42	ISS08	common_area	49.86	47.96	56.9	false	
42	ISS09	common_area	47.95	52.53	37.9	false	
43	ISS00	common_area	49.75	47.97	48.7	false	
43	ISS01	crew_quarters	25.79	35.82	46.7	false	
43	ISS02	common_area	54.38	49.15	57.9	false	
43	ISS03	common_area	45.19	46.99	56.6	false	
43	ISS04	common_area	50.53	51.98	48.2	false	
43	ISS05	common_area	51.53	47.13	45.7	false	
43	ISS06	common_area	45.78	51.45	44.3	false	
43	ISS07	common_area	55.18	52.31	49.2	false	
43	ISS08	common_area	49.2	48.12	66.6	false	
43	ISS09	common_area	48.89	53.06	32.8	false	
44	ISS00	common_area	49.1	48.16	55.8	false	
44	ISS01	crew_quarters	26.27	36.06	64.1	true	
44	ISS02	common_area	53.87	47.77	61.8	false	
44	ISS03	common_area	44.47	48.72	61.5	false	
44	ISS04	common_area	51.14	51.7	36.2	false	
44	ISS05	common_area	50.51	46.79	46.2	false	
44	ISS06	common_area	46.48	52.75	45.7	false	
44	ISS07	common_area	55.65	50.49	50.0	false	
44	ISS08	common_area	48.63	48.48	43.2	false	
44	ISS09	common_area	49.94	53.25	47.9	false	
45	ISS00	common_area	48.55	48.55	60.7	false	
45	ISS01	crew_quarters	26.81	36.13	48.6	false	
45	ISS02	common_area	52.93	46.63	50.4	false	
45	ISS03	common_area	44.36	50.59	67.9	false	
45	ISS04	common_area	51.63	51.23	38.2	false	
45	ISS05	common_area	49.43	46.79	54.7	false	
45	ISS06	common_area	47.57	53.74	42.5	false	
45	ISS07	common_area	55.5	48.63	41.7	false	
45	ISS08	common_area	48.21	49.01	52.5	false	
45	ISS09	common_area	51.01	53.1	40.9	false	
46	ISS00	common_area	48.16	49.1	59.1	false	
46	ISS01	crew_quarters	27.33	36.02	48.2	false	
46	ISS02	common_area	51.67	45.86	66.7	false	
46	ISS03	common_area	44.86	52.4	64.4	false	
46	ISS04	common_area	51.95	50.63	43.3	false	
46	ISS05	common_area	48.42	47.15	43.0	false	
46	ISS06	common_area	48.92	54.33	54.1	false	
46	ISS07	common_area	54.76	46.91	36.4	false	
46	ISS08	common_area	47.99	49.64	72.1	false	CONF06
46	ISS09	common_area	51.96	52.6	53.1	false	CONF06
47	ISS00	common_area	47.97	49.75	49.4	false	
47	ISS01	crew_quarters	27.8	35.75	52.7	false	
47	ISS02	common_area	50.23	45.54	56.3	false	
